id,value
id_0,25.444451994
id_1,63.382769567
id_2,18.8058149298
id_3,29.5056342426
id_4,8.74444957808
id_5,32.8472461545
id_6,40.8269927412
id_7,17.5567389073
id_8,51.4637372676
id_9,32.7564227709
id_10,38.7786233998
id_11,58.3652916366
id_12,34.4733797502
id_13,40.9454246323
id_14,27.0527534209
id_15,12.3194903499
id_16,50.9543282535
id_17,22.5821837595
id_18,17.3530135268
id_19,18.5322789903
id_20,15.3459930454
id_21,30.0259393942
id_22,38.2894487252
id_23,9.81832896874
id_24,61.7203926147
id_25,46.424621501
id_26,27.6240474133
id_27,7.230409427
id_28,28.666514621
id_29,36.5522288218
id_30,18.2040718632
id_31,11.180462861
id_32,16.4898171343
id_33,6.40872828108
id_34,16.2323815093
id_35,41.3051631692
id_36,20.6750083754
id_37,27.6640114948
id_38,10.1368489544
id_39,58.0461436523
id_40,46.8812351048
id_41,18.7584909181
id_42,52.8999744874
id_43,18.1937882332
id_44,44.5475958721
id_45,50.357789706
id_46,57.2034239032
id_47,41.7199451773
id_48,55.0546553086
id_49,38.9124845396
id_50,29.1921144499
id_51,24.3650614416
id_52,39.4315206337
id_53,23.6742943072
id_54,37.7281486336
id_55,39.928195117
id_56,24.286954769
id_57,21.6748485136
id_58,36.9285711447
id_59,32.105748825
id_60,14.1146219342
id_61,22.5023238792
id_62,32.6654898859
id_63,53.8773406561
id_64,50.8452837933
id_65,25.6937270278
id_66,38.0216473812
id_67,51.799043186
id_68,28.7680595577
id_69,37.2062176604
id_70,65.347424828
id_71,55.458684165
id_72,42.2588597707
id_73,12.7987110441
id_74,12.6291096301
id_75,35.0135626758
id_76,61.2549798764
id_77,2.20342457176
id_78,42.5408193464
id_79,42.3446261152
id_80,8.6631135403
id_81,23.441606938
id_82,6.09483449857
id_83,32.0822190355
id_84,8.37773244917
id_85,5.43975230674
id_86,17.3802867914
id_87,11.7703030914
id_88,18.8394058154
id_89,25.7092710575
id_90,35.4323973041
id_91,12.819016364
id_92,12.8057879494
id_93,9.05289763421
id_94,38.4863110524
id_95,14.9073024167
id_96,17.0090222427
id_97,9.76667035528
id_98,11.5348000602
id_99,5.21384568606
id_100,10.2812005895
id_101,18.9134045576
id_102,11.9892294813
id_103,8.67433221454
id_104,12.9916068757
id_105,37.4938019408
id_106,25.3263507178
id_107,7.5866334668
id_108,17.1251159457
id_109,15.563120315
id_110,12.0715809466
id_111,16.9869937494
id_112,16.5822056003
id_113,27.2459690895
id_114,20.4950846892
id_115,17.1596668088
id_116,6.82631557274
id_117,44.7398342368
id_118,26.4968157296
id_119,0.84744318629
id_120,1.40748228031
id_121,10.6716480485
id_122,13.464535181
id_123,13.4018832866
id_124,8.30845404028
id_125,25.1846970859
id_126,21.7100791483
id_127,11.0141077748
id_128,20.8510961495
id_129,16.9790828142
id_130,3.45376176296
id_131,33.0295530391
id_132,15.2722991205
id_133,22.4105255202
id_134,26.7593469198
id_135,23.8058618704
id_136,10.0530458767
id_137,21.1717257288
id_138,78.9145812195
id_139,61.2946476345
id_140,26.6325981496
id_141,19.1515494606
id_142,24.3775258869
id_143,7.53923728087
id_144,12.3830533169
id_145,10.2054630058
id_146,18.0869193551
id_147,7.84523211869
id_148,12.4972023158
id_149,14.7066783032
id_150,47.4157528964
id_151,22.010515947
id_152,22.4797615502
id_153,13.6407450034
id_154,14.446294243
id_155,24.1239097266
id_156,25.8891042398
id_157,37.4338959816
id_158,4.48000451245
id_159,23.1855492146
id_160,43.6454986858
id_161,19.3281112321
id_162,64.5229370456
id_163,17.3600953864
id_164,33.9008690056
id_165,24.1487132226
id_166,23.375895282
id_167,1.769345725
id_168,67.1103339629
id_169,15.6495120574
id_170,16.3267864726
id_171,70.3494642137
id_172,21.6752760037
id_173,1.57985909811
id_174,23.5817937819
id_175,1.93384320728
id_176,7.27201859526
id_177,18.0750380872
id_178,20.1374237532
id_179,24.501428746
id_180,42.874868534
id_181,31.861919389
id_182,27.1778496772
id_183,12.1449926059
id_184,6.59646367239
id_185,41.6977246153
id_186,35.5607943135
id_187,35.1692782419
id_188,16.0497951608
id_189,22.8418853127
id_190,13.5405254516
id_191,15.9314931855
id_192,31.3191513806
id_193,70.7330115691
id_194,29.6916446645
id_195,11.7655052724
id_196,63.6648753931
id_197,16.2697036134
id_198,19.018306754
id_199,19.5414518648
id_200,124.390591927
id_201,24.4747463144
id_202,58.5128415763
id_203,6.23938085751
id_204,60.4802495817
id_205,34.9955445419
id_206,14.6958045134
id_207,13.3043742449
id_208,62.2421092831
id_209,15.8907531775
id_210,36.1223602571
id_211,69.2225221801
id_212,18.6339978707
id_213,114.932342911
id_214,41.6022439372
id_215,79.1250214253
id_216,93.2593502705
id_217,71.6524844877
id_218,29.5717837364
id_219,18.4536809038
id_220,30.2034473792
id_221,57.7791844629
id_222,26.7706696713
id_223,37.8518068225
id_224,42.3386222168
id_225,9.20281097985
id_226,3.13904336115
id_227,81.1355891031
id_228,29.5766719244
id_229,1.24617819863
id_230,39.8974607368
id_231,15.7284375795
id_232,21.7253950121
id_233,7.66368251964
id_234,13.2182974643
id_235,23.6135991378
id_236,13.3672614606
id_237,1.98449936683
id_238,20.6671261543
id_239,10.4288652936
